Year,"Agriculture, forestry, and fishing",Industry,Services
2000,,,
2001,3.75,1.48,3.78
2002,3.76,3.72,3.7
2003,4.66,5.08,5.41
2004,5.0,4.53,9.09
2005,3.53,5.28,5.49
2006,4.56,3.83,6.78
2007,5.13,4.98,8.02
2008,3.4,5.65,4.73
2009,-0.13,-1.43,4.26
2010,1.28,10.02,8.14
2011,3.38,1.86,5.6
2012,3.14,8.2,7.53
2013,2.92,6.91,7.74
2014,1.91,7.58,7.13
2015,0.83,6.65,7.79
2016,-0.91,8.49,8.75
2017,4.21,6.96,7.44
2018,1.2,7.3,6.39
2019,1.16,5.57,6.74
2020,-0.16,-13.11,-10.21
2021,-0.27,8.43,5.37
2022,97.68,112.38,118.05
2023,1.07,3.56,7.37
2024,-51.43,-47.4,-46.88
