Region,"Agriculture, forestry, and fishing",Industry,Services,Total
Bangsamoro Autonomous Region in Muslim Mindanao,140073739.0,99466093.0,148762487.0,388302319.0
Bicol Region,106963033.0,254485894.0,431917738.0,793366665.0
CALABARZON,195962197.0,1698425114.0,1989112453.0,3883499764.0
Cagayan Valley,144472924.0,166964980.0,260580799.0,572018703.0
Caraga,49905943.0,147613033.0,249775420.0,447294396.0
Central Luzon,328988022.0,1159612950.0,1649802529.0,3138403501.0
Central Visayas,88099664.0,372314975.0,1155024410.0,1615439049.0
Cordillera Administrative Region,35739904.0,99833326.0,343171511.0,478744741.0
Davao Region,235375678.0,331640358.0,883008464.0,1450024500.0
Eastern Visayas,84251616.0,222078445.0,330410369.0,636740430.0
Ilocos Region,145655559.0,265369140.0,498875577.0,909900276.0
MIMAROPA Region,83790969.0,146274416.0,303957739.0,534023124.0
National Capital Region,672923.0,1371555092.0,8100444015.0,9472672030.0
Northern Mindanao,254619091.0,316535654.0,739807326.0,1310962071.0
SOCCSKSARGEN,172077472.0,154806401.0,369710197.0,696594070.0
Western Visayas,114782312.0,160403054.0,563751828.0,838937194.0
Zamboanga Peninsula,110465943.0,173416282.0,307328567.0,591210792.0
